Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/10/2021,09/12/2021,SP * PACERS RUNNING,Shopping,Sale,-33.90,
09/11/2021,09/12/2021,TST* MAH ZE DAHR AT GATSB,Food & Drink,Sale,-12.50,
09/10/2021,09/12/2021,ELBOWGREASE,Shopping,Sale,-42.34,
09/05/2021,09/06/2021,TST* PENTHOUSE POOL AND L,Food & Drink,Sale,-19.20,
09/05/2021,09/06/2021,COSTCO WHSE #1120,Shopping,Sale,-176.47,
09/05/2021,09/06/2021,SQ *HOG HAVEN FARM LLC,Groceries,Sale,-10.35,
09/03/2021,09/05/2021,APPLE.COM/BILL,Shopping,Sale,-1.37,
08/30/2021,08/31/2021,TST* EAT BRGZ,Food & Drink,Sale,-36.40,
08/30/2021,08/31/2021,ABC*VIDA FITNESS,Health & Wellness,Sale,-114.30,
08/29/2021,08/30/2021,COSTCO WHSE #0233,Shopping,Sale,-186.75,
08/25/2021,08/27/2021,The Brig,Professional Services,Sale,-21.26,
08/23/2021,08/24/2021,COSTCO BY INSTACART,Groceries,Sale,-1.21,
08/23/2021,08/24/2021,COSTCO BY INSTACART,Groceries,Sale,-54.00,
08/20/2021,08/20/2021,Payment Thank You-Mobile,,Payment,666.79,
08/16/2021,08/17/2021,TST* LAPV ARISDINER DOCK,Food & Drink,Sale,-54.00,
08/15/2021,08/16/2021,TST* THE DABNEY,Food & Drink,Sale,-290.90,
08/15/2021,08/16/2021,FRAGERS,Home,Sale,-8.47,
08/10/2021,08/11/2021,HARRIS TEETER 383,Groceries,Sale,-35.13,
08/09/2021,08/10/2021,TST* PENTHOUSE POOL AND L,Food & Drink,Sale,-19.20,
08/08/2021,08/09/2021,TST* CALL YOUR MOTHER - C,Food & Drink,Sale,-12.98,
08/08/2021,08/09/2021,TST* JENI S SPLENDID ICE,Food & Drink,Sale,-8.97,
08/07/2021,08/08/2021,SUSHI HACH* SUSHI HACH,Food & Drink,Sale,-56.83,
08/06/2021,08/06/2021,NATIVE,Shopping,Sale,-38.16,
08/04/2021,08/06/2021,The Brig,Food & Drink,Sale,-16.01,
08/05/2021,08/05/2021,Payment Thank You - Web,,Payment,1712.31,
08/05/2021,08/05/2021,Amazon Prime*2P7HK6S81,Bills & Utilities,Sale,-126.14,
08/01/2021,08/02/2021,TST* ROCKLANDS BBQ DC,Food & Drink,Sale,-39.21,
08/01/2021,08/02/2021,TST* THE MAJESTIC,Food & Drink,Sale,-110.24,
08/01/2021,08/02/2021,TST* SUSHI HACHI,Food & Drink,Sale,-28.16,
07/30/2021,08/01/2021,ABC*VIDA FITNESS,Health & Wellness,Sale,-114.30,
07/31/2021,08/01/2021,BANGKOK JOES,Food & Drink,Sale,-42.48,
07/30/2021,08/01/2021,DUE SOUTH,Food & Drink,Sale,-56.00,
07/31/2021,08/01/2021,TM *D.C. UNITED,Entertainment,Sale,-159.25,
07/31/2021,08/01/2021,FANDANGO,Entertainment,Sale,-24.98,
07/30/2021,08/01/2021,CONTE`S BIKE SHOP NAVY YA,Shopping,Sale,-74.19,
07/30/2021,08/01/2021,SQ *STEADFAST SUPPLY,Shopping,Sale,-13.25,
07/23/2021,07/25/2021,TRACI'S DINER,Food & Drink,Sale,-26.97,
07/22/2021,07/25/2021,NAUTILUS SEAFOOD &amp;GRILL,Food & Drink,Sale,-88.20,
07/24/2021,07/25/2021,APPLE.COM/BILL,Shopping,Sale,-1.37,
07/24/2021,07/25/2021,TST* BLACK LAMB,Food & Drink,Sale,-85.46,
07/24/2021,07/25/2021,TST* HOLY DONUT - SCARBOR,Food & Drink,Sale,-18.61,
07/21/2021,07/23/2021,NIELSON WINES,Entertainment,Sale,-132.98,
07/21/2021,07/22/2021,SQ *THE PICKLED WRINKLE,Food & Drink,Sale,-65.90,
07/21/2021,07/22/2021,ACADIA NATIONAL PARK,Bills & Utilities,Sale,-30.00,
07/21/2021,07/22/2021,WICKED BREW CAFE,Food & Drink,Sale,-11.18,
07/19/2021,07/21/2021,CASCOBAY ISLAND TIX,Travel,Sale,-15.40,
07/20/2021,07/21/2021,Central Provisions,Food & Drink,Sale,-180.12,
07/20/2021,07/21/2021,MCDONALD'S F10686,Food & Drink,Sale,-5.81,
07/19/2021,07/21/2021,DUCK FAT,Food & Drink,Sale,-11.37,
07/18/2021,07/20/2021,TIMBER KITCHEN AND BAR,Food & Drink,Sale,-79.45,
07/18/2021,07/19/2021,FH* BALMY DAYS CRUISES,Entertainment,Sale,-21.00,
07/18/2021,07/19/2021,FH* BALMY DAYS CRUISES,Entertainment,Sale,-44.52,
07/17/2021,07/19/2021,DARBYS RESTAURANT,Food & Drink,Sale,-56.91,
07/18/2021,07/19/2021,TST* HARVEST MOON DELI -,Food & Drink,Sale,-26.90,
07/18/2021,07/19/2021,FH* BALMY DAYS CRUISES,Entertainment,Sale,-21.00,
07/16/2021,07/18/2021,HIGH TIDE,Food & Drink,Sale,-77.80,
07/16/2021,07/18/2021,SP * JJ MALIBU.COM,Shopping,Return,36.00,
07/16/2021,07/18/2021,SQ *NEST COFFEE,Food & Drink,Sale,-17.70,
07/15/2021,07/16/2021,MCDONALD'S F3065,Food & Drink,Sale,-18.87,
07/15/2021,07/16/2021,SP * CHARLIE BY MZ,Shopping,Return,165.00,
07/13/2021,07/15/2021,NAUTILUS SEAFOOD &amp;GRILL,Food & Drink,Sale,-96.78,
07/12/2021,07/13/2021,THE PORTHOLE RESTAURANT,Food & Drink,Sale,-84.20,
07/11/2021,07/13/2021,SP * MARINE LAYER,Shopping,Return,116.60,
07/12/2021,07/13/2021,BLAZE,Food & Drink,Sale,-52.20,
07/12/2021,07/13/2021,TST* TATTE BAKERY - EMERS,Food & Drink,Sale,-14.02,
07/12/2021,07/13/2021,SQ *THE GRIND HOUSE BANGO,Food & Drink,Sale,-12.73,
07/11/2021,07/12/2021,TST* FOURTH WALL,Food & Drink,Sale,-65.52,
07/09/2021,07/11/2021,HARRIS TEETER 383,Groceries,Sale,-4.35,
07/09/2021,07/09/2021,Payment Thank You-Mobile,,Payment,1436.43,
07/08/2021,07/09/2021,THE UPS STORE 7199,Personal,Sale,-0.53,
07/07/2021,07/08/2021,NIKE.COM AP,Shopping,Return,33.36,
07/06/2021,07/07/2021,TST* PENTHOUSE POOL AND L,Food & Drink,Sale,-54.60,
07/05/2021,07/06/2021,TST* PENTHOUSE POOL AND L,Food & Drink,Sale,-49.40,
07/05/2021,07/06/2021,TST* OSTERIA MORINI - DC,Food & Drink,Sale,-84.40,
07/05/2021,07/06/2021,THE UPS STORE 7199,Personal,Sale,-0.27,
07/02/2021,07/05/2021,KRUBA RESTAURANT,Food & Drink,Sale,-54.27,
07/02/2021,07/04/2021,SQ *LEVAIN BAKERY,Shopping,Sale,-9.90,
07/01/2021,07/02/2021,NIKE.COM AP,Shopping,Sale,-147.84,
06/30/2021,07/01/2021,ABC*VIDA FITNESS,Health & Wellness,Sale,-114.30,
06/28/2021,06/29/2021,HARRIS TEETER 383,Groceries,Sale,-84.61,
06/28/2021,06/29/2021,ABC*VIDA FITNESS,Health & Wellness,Sale,-79.00,
06/27/2021,06/28/2021,Patagonia Direct Inc.,Shopping,Sale,-52.46,
06/26/2021,06/28/2021,THE UPS STORE 7199,Personal,Sale,-0.53,
06/27/2021,06/28/2021,SP * MARINE LAYER,Shopping,Sale,-164.30,
06/26/2021,06/27/2021,WHOLEFDS OTN 10185,Groceries,Sale,-40.89,
06/25/2021,06/27/2021,HARRIS TEETER 383,Groceries,Sale,-5.38,
06/24/2021,06/25/2021,HARRIS TEETER 383,Groceries,Sale,-57.77,
06/21/2021,06/23/2021,IN *THE DISTRICT FISHWIFE,Food & Drink,Sale,-18.13,
06/21/2021,06/23/2021,HARRIS TEETER 383,Groceries,Sale,-40.51,
06/21/2021,06/22/2021,SP * CHARLIE BY MZ,Shopping,Sale,-165.00,
06/22/2021,06/22/2021,UBER   EATS,Food & Drink,Sale,-34.62,
06/20/2021,06/21/2021,MOMS OF IVY CITY,Groceries,Sale,-109.99,
06/21/2021,06/21/2021,SP * JJ MALIBU.COM,Shopping,Sale,-40.95,
06/18/2021,06/20/2021,UBER   TRIP,Travel,Sale,-19.55,
06/19/2021,06/20/2021,Payment Thank You-Mobile,,Payment,1026.07,
06/19/2021,06/20/2021,HARRIS TEETER 383,Groceries,Sale,-41.12,
06/16/2021,06/18/2021,CITIZEN SUPPLY,Shopping,Sale,-30.49,
06/14/2021,06/15/2021,KROGER 695,Groceries,Sale,-87.31,
06/13/2021,06/14/2021,LAZ PARKING 580336-FLASH,Travel,Sale,-3.00,
06/12/2021,06/14/2021,STARBUCKS STORE 10898,Food & Drink,Sale,-5.78,
06/13/2021,06/14/2021,SQ *REVOLUTION DOUGHNUTS,Groceries,Sale,-32.56,
06/12/2021,06/13/2021,TST* OSTERIA MORINI - DC,Food & Drink,Sale,-110.20,
06/12/2021,06/13/2021,UBER   TRIP,Travel,Sale,-19.97,
06/08/2021,06/09/2021,HARRIS TEETER 383,Groceries,Sale,-18.93,
06/06/2021,06/07/2021,HARRIS TEETER 383,Groceries,Sale,-1.83,
06/06/2021,06/07/2021,WHOLEFDS SCP #10563,Groceries,Sale,-91.64,
06/06/2021,06/07/2021,TST* JENI S SPLENDID ICE,Food & Drink,Sale,-17.50,
06/04/2021,06/07/2021,KRUBA RESTAURANT,Food & Drink,Sale,-30.29,
06/05/2021,06/06/2021,HARRIS TEETER 383,Groceries,Sale,-74.94,
06/04/2021,06/06/2021,ERAC TOLL 766685166,Travel,Sale,-6.00,
06/02/2021,06/04/2021,ABC Pony,Food & Drink,Sale,-35.88,
05/30/2021,06/01/2021,KRISPY KREME 0023,Food & Drink,Sale,-1.42,
05/29/2021,05/31/2021,THE POINT,Food & Drink,Sale,-188.57,
05/30/2021,05/31/2021,ABC*VIDA FITNESS,Health & Wellness,Sale,-114.30,
05/30/2021,05/31/2021,WHOLEFDS SCP #10563,Groceries,Sale,-30.28,
05/28/2021,05/31/2021,KRUBA RESTAURANT,Food & Drink,Sale,-55.47,
05/30/2021,05/31/2021,ERAC TOLL 766685166,Travel,Sale,-21.95,
05/29/2021,05/30/2021,Payment Thank You - Web,,Payment,1205.14,
05/27/2021,05/30/2021,ABC Pony,Food & Drink,Sale,-47.76,
05/23/2021,05/24/2021,HARRIS TEETER 383,Groceries,Sale,-54.17,
05/23/2021,05/24/2021,SUMMER HOUSE NORTH BETHE,Food & Drink,Sale,-58.19,
05/21/2021,05/23/2021,2WSHGTN NTNLS 15625221,Food & Drink,Sale,-7.04,
05/21/2021,05/23/2021,APPLE.COM/BILL,Shopping,Sale,-1.37,
05/18/2021,05/19/2021,TICKETS.COM I 03,Entertainment,Sale,-121.00,
05/17/2021,05/17/2021,AUTOMATIC PAYMENT - THANK,,Payment,187.11,
05/16/2021,05/17/2021,HARRIS TEETER 383,Groceries,Sale,-111.02,
05/16/2021,05/17/2021,WHOLEFDS SCP #10563,Groceries,Sale,-74.75,
05/13/2021,05/16/2021,KRUBA RESTAURANT,Food & Drink,Sale,-30.29,
05/13/2021,05/14/2021,TST* OSTERIA MORINI - DC,Food & Drink,Sale,-136.00,
05/05/2021,05/07/2021,2WSHGTN NTNLS 15625221,Food & Drink,Sale,-10.01,
05/03/2021,05/05/2021,Amazon.com*K90FW6QG3,Shopping,Sale,-8.79,
05/05/2021,05/05/2021,AMERICAN AIR0012172596767,Travel,Sale,-226.79,
05/02/2021,05/04/2021,Amazon.com*2L0UZ9NL1,Shopping,Sale,-25.51,
05/03/2021,05/04/2021,AMZN Mktp US*L08E56UH3,Shopping,Sale,-13.76,
05/03/2021,05/03/2021,CHIPOTLE ONLINE,Food & Drink,Sale,-25.63,
05/02/2021,05/03/2021,SP * DANDYFARMERBONSAI,Home,Sale,-53.41,
05/02/2021,05/03/2021,SQ *DISTRICT DOUGHNUT WHA,Food & Drink,Sale,-5.13,
04/30/2021,05/02/2021,HARRIS TEETER 383,Groceries,Sale,-9.99,
04/29/2021,05/02/2021,KRUBA RESTAURANT,Food & Drink,Sale,-36.55,
04/27/2021,04/28/2021,BB* LA FAMOSA,Food & Drink,Sale,-71.55,
04/25/2021,04/26/2021,COSTCO WHSE #1120,Shopping,Sale,-1.65,
04/24/2021,04/25/2021,COSTCO WHSE #1120,Shopping,Sale,-81.68,
04/24/2021,04/25/2021,TST* FIRESTONE S CULINARY,Food & Drink,Sale,-40.86,
04/18/2021,04/19/2021,WHOLEFDS SCP #10563,Groceries,Sale,-15.17,
04/17/2021,04/18/2021,UBER   EATS,Food & Drink,Sale,-30.05,
04/17/2021,04/18/2021,Payment Thank You - Web,,Payment,1104.27,
04/17/2021,04/18/2021,HARRIS TEETER 383,Groceries,Sale,-57.84,
04/17/2021,04/18/2021,BB* LA FAMOSA,Food & Drink,Sale,-78.65,
04/17/2021,04/18/2021,UBER   EATS,Food & Drink,Sale,-5.40,
04/14/2021,04/15/2021,WA VEHICLE LICENSING,Bills & Utilities,Sale,-110.47,
04/10/2021,04/12/2021,ENTERPRISE RENT-A-CAR,Travel,Sale,-180.37,
04/09/2021,04/11/2021,STARBUCKS STORE 10898,Food & Drink,Sale,-4.35,
04/08/2021,04/09/2021,MT CUBA CENTER TICKETING,Gifts & Donations,Sale,-30.00,
04/05/2021,04/06/2021,FBPAY  *SavetheChildre,Gifts & Donations,Sale,-50.00,
04/04/2021,04/05/2021,TST* OSTERIA MORINI - DC,Food & Drink,Sale,-110.20,
04/04/2021,04/05/2021,HARRIS TEETER 383,Groceries,Sale,-38.98,
04/03/2021,04/04/2021,CHIPOTLE ONLINE,Food & Drink,Sale,-31.52,
03/31/2021,04/01/2021,TST* LA FAMOSA,Food & Drink,Sale,-67.50,
03/30/2021,03/31/2021,ABC*VIDA FITNESS,Health & Wellness,Sale,-25.00,
03/29/2021,03/30/2021,Amazon.com*RF31Z4PF3,Shopping,Sale,-19.39,
03/29/2021,03/30/2021,COSTCO BY INSTACART,Groceries,Sale,-85.98,
03/27/2021,03/29/2021,TONY &amp; JOES SEAFOOD PL,Food & Drink,Sale,-75.42,
03/28/2021,03/29/2021,HARRIS TEETER 383,Groceries,Sale,-57.57,
03/27/2021,03/28/2021,Amazon.com,Shopping,Return,1.07,
03/25/2021,03/26/2021,Amazon.com*VJ65F8XZ3,Shopping,Sale,-12.70,
03/24/2021,03/24/2021,CHIPOTLE ONLINE,Food & Drink,Sale,-29.26,
03/23/2021,03/24/2021,Amazon Tips*9L4UI18F3,Shopping,Sale,-5.00,
03/21/2021,03/22/2021,Amazon.com*TF1KL53R3,Groceries,Sale,-26.58,
03/21/2021,03/22/2021,COSTCO BY INSTACART,Groceries,Sale,-80.00,
03/21/2021,03/22/2021,HARRIS TEETER 383,Groceries,Sale,-22.65,
03/21/2021,03/22/2021,COSTCO BY INSTACART,Groceries,Sale,-9.27,
03/20/2021,03/21/2021,Payment Thank You - Web,,Payment,875.96,
03/20/2021,03/21/2021,TST* LA FAMOSA,Food & Drink,Sale,-33.13,
03/17/2021,03/18/2021,THE UPS STORE 7199,Personal,Sale,-17.78,
03/17/2021,03/18/2021,HARRIS TEETER 383,Groceries,Sale,-19.77,
03/14/2021,03/16/2021,EXXONMOBIL    47827100,Gas,Sale,-23.86,
03/14/2021,03/16/2021,KRUBA RESTAURANT,Food & Drink,Sale,-27.66,
03/15/2021,03/16/2021,Philips.com shop,Home,Sale,-104.78,
03/13/2021,03/15/2021,HARRIS TEETER 383,Groceries,Sale,-84.01,
03/14/2021,03/15/2021,HARBOR SHACK,Food & Drink,Sale,-40.29,
03/13/2021,03/14/2021,TST* EAT BRGZ,Food & Drink,Sale,-29.90,
03/12/2021,03/14/2021,WISEGUY PIZZA - 4,Food & Drink,Sale,-12.62,
03/13/2021,03/14/2021,THOMPSON WASHINGTON DC,Travel,Sale,-234.50,
03/12/2021,03/14/2021,SQ *DISTRICT DOUGHNUT WHA,Food & Drink,Sale,-4.30,
03/11/2021,03/11/2021,UBER   EATS,Food & Drink,Sale,-40.55,
03/11/2021,03/11/2021,UBER   EATS,Food & Drink,Sale,-8.11,
03/07/2021,03/08/2021,UBER   EATS,Food & Drink,Sale,-52.97,
03/07/2021,03/08/2021,HARRIS TEETER 383,Groceries,Sale,-82.49,
03/06/2021,03/07/2021,TST* LA FAMOSA,Food & Drink,Sale,-48.13,
03/05/2021,03/07/2021,HARRIS TEETER 383,Groceries,Sale,-30.58,
03/06/2021,03/07/2021,HARRIS TEETER 383,Groceries,Sale,-13.66,
03/05/2021,03/05/2021,Payment Thank You - Web,,Payment,1139.38,
03/02/2021,03/03/2021,AMZN Mktp US*M876U3BA3,Shopping,Sale,-58.27,
03/03/2021,03/03/2021,CHIPOTLE ONLINE,Food & Drink,Sale,-30.91,
02/28/2021,03/01/2021,HARRIS TEETER 383,Groceries,Sale,-23.24,
02/28/2021,03/01/2021,ABC*VIDA FITNESS,Health & Wellness,Sale,-25.00,
02/28/2021,03/01/2021,HARRIS TEETER 383,Groceries,Sale,-31.34,
02/28/2021,03/01/2021,TST* HATOBA,Food & Drink,Sale,-40.00,
02/25/2021,02/26/2021,HARRIS TEETER 383,Groceries,Sale,-86.87,
02/25/2021,02/25/2021,CHIPOTLE ONLINE,Food & Drink,Sale,-19.20,
02/24/2021,02/25/2021,TST* SWIZZLER NAVY YARD,Food & Drink,Sale,-12.12,
02/21/2021,02/22/2021,HARRIS TEETER 383,Groceries,Sale,-111.00,
02/20/2021,02/21/2021,HARRIS TEETER 383,Groceries,Sale,-25.38,
02/17/2021,02/17/2021,AUTOMATIC PAYMENT - THANK,,Payment,108.00,
02/15/2021,02/16/2021,HARRIS TEETER 383,Groceries,Sale,-4.69,
02/15/2021,02/16/2021,HARRIS TEETER 383,Groceries,Sale,-23.65,
02/14/2021,02/15/2021,HARRIS TEETER 383,Groceries,Sale,-45.71,
02/12/2021,02/14/2021,TST* BAMMY S,Food & Drink,Sale,-37.95,
02/13/2021,02/14/2021,HARRIS TEETER 383,Groceries,Sale,-56.09,
02/12/2021,02/14/2021,WHOLEFDS SCP #10563,Groceries,Sale,-45.18,
02/07/2021,02/08/2021,TST* SWIZZLER NAVY YARD,Food & Drink,Sale,-12.12,
02/07/2021,02/08/2021,WHOLEFDS SCP #10563,Groceries,Sale,-180.62,
02/06/2021,02/07/2021,HARRIS TEETER 383,Groceries,Sale,-87.84,
02/06/2021,02/07/2021,TST* LA FAMOSA,Food & Drink,Sale,-56.88,
02/04/2021,02/04/2021,CHIPOTLE ONLINE,Food & Drink,Sale,-22.88,
01/31/2021,02/01/2021,Amazon Tips*AI7UZ14F3,Shopping,Sale,-5.00,
01/29/2021,01/31/2021,Amazon.com*HS7CU8VF3,Groceries,Sale,-67.44,
01/30/2021,01/31/2021,ABC*VIDA FITNESS,Health & Wellness,Sale,-25.00,
01/20/2021,01/21/2021,Amazon Tips*ZF2UY4AZ3,Shopping,Sale,-5.00,
01/19/2021,01/20/2021,Amazon Tips*7Z9M09E03,Shopping,Sale,-5.00,
01/18/2021,01/19/2021,Amazon Tips*FY56Q8HN3,Shopping,Sale,-5.00,
01/18/2021,01/19/2021,Amazon.com*9K6GC0YT3,Groceries,Sale,-36.66,
01/18/2021,01/19/2021,Amazon Tips*1O0PB17S3,Shopping,Sale,-5.00,
01/18/2021,01/18/2021,Payment Thank You - Web,,Payment,1563.57,
01/17/2021,01/18/2021,Amazon.com*Q010983B3,Groceries,Sale,-56.34,
01/16/2021,01/17/2021,Amazon.com*RI4NN4E93,Groceries,Sale,-59.09,
01/16/2021,01/17/2021,Amazon.com*0H57C7Q13,Groceries,Sale,-57.98,
01/12/2021,01/13/2021,Amazon.com*IH4403N03,Shopping,Sale,-22.86,
01/09/2021,01/11/2021,ABC Pony,Food & Drink,Sale,-21.58,
01/10/2021,01/11/2021,AMZN Mktp US*SC3FL1FL3,Shopping,Sale,-12.60,
01/10/2021,01/11/2021,HARRIS TEETER 383,Groceries,Sale,-106.18,
01/08/2021,01/10/2021,MOUNTAIN RACING PRODUCTS,Shopping,Sale,-599.95,
01/08/2021,01/10/2021,AMZN Mktp US*OR4ZZ2YW3,Shopping,Sale,-7.41,
01/05/2021,01/06/2021,SP * DANDYFARMERBONSAI,Home,Sale,-229.50,
01/05/2021,01/06/2021,THE UPS STORE 7199,Personal,Sale,-10.00,
01/04/2021,01/05/2021,AMZN Mktp US*HT92Q4SJ3,Shopping,Sale,-84.79,
01/03/2021,01/05/2021,WHOLEFDS SCP #10563,Groceries,Sale,-129.55,
01/04/2021,01/05/2021,AMZN Mktp US,Shopping,Return,286.19,
01/03/2021,01/04/2021,HARRIS TEETER 383,Groceries,Sale,-30.22,
01/02/2021,01/04/2021,GINKGO GARDENS,Home,Sale,-10.59,
01/03/2021,01/04/2021,AMZN Mktp US*A78OE8BO3,Shopping,Sale,-42.79,
01/01/2021,01/03/2021,SP * PURE ENRICHMENT,Shopping,Sale,-26.18,
12/30/2020,01/01/2021,ON WHAT GROUNDS?,Food & Drink,Sale,-5.03,
12/31/2020,01/01/2021,TST* TOUCH OF ITALY - LEW,Food & Drink,Sale,-50.00,
