Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/05/2020,12/06/2020,CAVIAR*SUSHI HACHI,Food & Drink,Sale,-48.45,
12/04/2020,12/06/2020,IDENTOGO-IDEMIA TSA PRECH,Bills & Utilities,Sale,-85.00,
12/04/2020,12/06/2020,WISEGUY PIZZA - 4,Food & Drink,Sale,-9.88,
12/03/2020,12/04/2020,WHITE HOUSE HSTRCL ASSOC,Personal,Sale,-26.45,
12/03/2020,12/04/2020,J CREW,Shopping,Sale,-37.92,
12/01/2020,12/02/2020,UBER   TRIP,Travel,Sale,-6.93,
11/30/2020,12/01/2020,APPLE.COM/BILL,Shopping,Sale,-10.59,
11/30/2020,12/01/2020,ABC*VIDA FITNESS,Health & Wellness,Sale,-25.00,
11/28/2020,11/29/2020,HARRIS TEETER 383,Groceries,Sale,-52.05,
11/28/2020,11/29/2020,CAVIAR*ABC PONY,Food & Drink,Sale,-108.53,
11/22/2020,11/23/2020,TST* LA FAMOSA,Food & Drink,Sale,-38.13,
11/21/2020,11/22/2020,HARRIS TEETER 383,Groceries,Sale,-22.92,
11/21/2020,11/22/2020,TST* EAT BRGZ,Food & Drink,Sale,-39.38,
11/19/2020,11/20/2020,Amazon Tips*PK8QQ2VI3,Shopping,Sale,-5.00,
11/18/2020,11/19/2020,Amazon Tips*205V690O2,Shopping,Sale,-5.00,
11/17/2020,11/18/2020,Amazon.com*NS4XS8SS3,Groceries,Sale,-4.96,
11/17/2020,11/18/2020,Amazon.com*R62DW3F53,Groceries,Sale,-40.60,
11/16/2020,11/17/2020,Amazon.com*T85S22SI3,Groceries,Sale,-63.79,
11/15/2020,11/16/2020,HARRIS TEETER 383,Groceries,Sale,-64.50,
11/13/2020,11/15/2020,CAVIAR*ABC PONY,Food & Drink,Sale,-40.05,
11/11/2020,11/12/2020,ACTBLUE*DONATETODEMS,Gifts & Donations,Sale,-25.00,
11/10/2020,11/11/2020,BIRD APP,Travel,Sale,-10.00,
11/10/2020,11/11/2020,HARRIS TEETER 383,Groceries,Sale,-13.88,
11/08/2020,11/10/2020,WHOLEFDS SCP #10563,Groceries,Sale,-40.02,
11/08/2020,11/09/2020,HARRIS TEETER 383,Groceries,Sale,-52.00,
11/07/2020,11/08/2020,TST* BAMMY S,Food & Drink,Sale,-34.16,
11/01/2020,11/02/2020,HARRIS TEETER 383,Groceries,Sale,-43.62,
10/30/2020,11/01/2020,ABC*VIDA FITNESS,Health & Wellness,Sale,-25.00,
10/31/2020,11/01/2020,Amazon.com*289IS9E31,Shopping,Sale,-16.10,
10/31/2020,11/01/2020,UBER   EATS,Food & Drink,Sale,-43.95,
11/01/2020,11/01/2020,TST* WALTERS SPORTS BAR,Food & Drink,Sale,-72.50,
10/29/2020,10/30/2020,APPLE.COM/BILL,Shopping,Sale,-21.19,
10/27/2020,10/28/2020,HARRIS TEETER 383,Groceries,Sale,-71.30,
10/25/2020,10/26/2020,HARRIS TEETER 383,Groceries,Sale,-59.73,
10/25/2020,10/26/2020,TST* EAT BRGZ,Food & Drink,Sale,-39.38,
10/24/2020,10/25/2020,UBER   EATS,Food & Drink,Sale,-32.90,
10/24/2020,10/25/2020,UBER   EATS,Food & Drink,Sale,-6.56,
10/22/2020,10/23/2020,DUE SOUTH,Food & Drink,Sale,-74.70,
10/21/2020,10/22/2020,Amazon Tips*2T1JM5BO1,Shopping,Sale,-5.00,
10/19/2020,10/20/2020,DOORDASH*LA FAMOSA,Food & Drink,Sale,-44.90,
10/19/2020,10/20/2020,TST* JENI S SPLENDID ICE,Food & Drink,Sale,-12.00,
10/19/2020,10/20/2020,COSTCO BY INSTACART,Groceries,Sale,-79.59,
10/19/2020,10/20/2020,COSTCO BY INSTACART,Groceries,Sale,-1.76,
10/19/2020,10/20/2020,Amazon.com*2T3YB0362,Groceries,Sale,-65.26,
10/18/2020,10/19/2020,HARRIS TEETER 383,Groceries,Sale,-47.97,
10/17/2020,10/18/2020,TST* ATLAS BREW WORKS - H,Food & Drink,Sale,-51.16,
10/16/2020,10/18/2020,Payment Thank You - Web,,Payment,2960.26,
10/16/2020,10/16/2020,AUTOMATIC PAYMENT - THANK,,Payment,1572.74,
10/16/2020,10/16/2020,TST* WALTERS SPORTS BAR,Food & Drink,Sale,-82.30,
10/15/2020,10/16/2020,HARRIS TEETER 383,Groceries,Sale,-64.19,
10/14/2020,10/15/2020,AMZN Mktp US*2T94G24U1,Shopping,Sale,-20.82,
10/13/2020,10/13/2020,UBER   TRIP,Travel,Sale,-12.42,
10/12/2020,10/13/2020,UBER   TRIP,Travel,Sale,-12.14,
10/12/2020,10/13/2020,1-800 CONTACTS  INC.,Health & Wellness,Sale,-223.97,
10/11/2020,10/13/2020,WHOLEFDS SCP #10563,Groceries,Sale,-59.03,
10/13/2020,10/13/2020,Amazon.com*MK9P49WX1,Shopping,Sale,-8.04,
10/12/2020,10/13/2020,TST* LA FAMOSA,Food & Drink,Sale,-40.00,
10/12/2020,10/13/2020,STEPHEN L GLASSER OD PC,Health & Wellness,Sale,-104.00,
10/10/2020,10/12/2020,ABC PONY,Food & Drink,Sale,-5.50,
10/11/2020,10/12/2020,HARRIS TEETER 383,Groceries,Sale,-32.77,
10/11/2020,10/12/2020,TST* MAH ZE DAHR AT GATSB,Food & Drink,Sale,-11.57,
10/09/2020,10/11/2020,HARRIS TEETER 383,Groceries,Sale,-97.78,
10/09/2020,10/11/2020,DUE SOUTH,Food & Drink,Sale,-77.20,
10/09/2020,10/09/2020,TST* WALTERS SPORTS BAR,Food & Drink,Sale,-101.40,
10/07/2020,10/08/2020,AMZN Mktp US*MK8M36PQ0,Shopping,Sale,-56.07,
10/06/2020,10/08/2020,WHOLEFDS SCP #10563,Groceries,Sale,-47.37,
10/05/2020,10/06/2020,APPLE.COM/BILL,Shopping,Sale,-21.19,
10/05/2020,10/06/2020,NATIVE,Shopping,Sale,-41.34,
10/05/2020,10/06/2020,TST* EAT BRGZ,Food & Drink,Sale,-46.80,
10/02/2020,10/04/2020,DUE SOUTH,Food & Drink,Sale,-118.50,
09/30/2020,10/01/2020,ABC*VIDA FITNESS,Health & Wellness,Sale,-25.00,
09/29/2020,09/30/2020,HARRIS TEETER 383,Groceries,Sale,-123.51,
09/28/2020,09/29/2020,Amazon.com*M42XS16V0,Shopping,Sale,-12.70,
09/26/2020,09/28/2020,KRISPY KREME 3509,Food & Drink,Sale,-7.67,
09/21/2020,09/22/2020,TST* PENTHOUSE POOL AND L,Food & Drink,Sale,-68.90,
09/20/2020,09/21/2020,HARRIS TEETER 383,Groceries,Sale,-11.83,
09/19/2020,09/20/2020,BIRD APP,Travel,Sale,-0.95,
09/19/2020,09/20/2020,ACTBLUE*JON.OSSOFF,Gifts & Donations,Sale,-25.00,
09/18/2020,09/20/2020,HARRIS TEETER 383,Groceries,Sale,-46.38,
09/19/2020,09/20/2020,ACTBLUE*ALAN.GROSS,Gifts & Donations,Sale,-25.00,
09/19/2020,09/20/2020,ACTBLUE*BARBARA.BOLLIER,Gifts & Donations,Sale,-25.00,
09/19/2020,09/20/2020,ACTBLUE*THERESA.GREENFIE,Gifts & Donations,Sale,-17.00,
09/19/2020,09/20/2020,ACTBLUE*JAIME.HARRISON,Gifts & Donations,Sale,-25.00,
09/19/2020,09/20/2020,ACTBLUE*STEVE.BULLOCK,Gifts & Donations,Sale,-10.00,
09/17/2020,09/18/2020,COSTCO BY INSTACART,Groceries,Sale,-153.97,
09/17/2020,09/17/2020,AUTOMATIC PAYMENT - THANK,,Payment,2047.35,
09/14/2020,09/15/2020,TST* PENTHOUSE POOL AND L,Food & Drink,Sale,-55.04,
09/14/2020,09/15/2020,TST* CHLOE - WASHINGTON,Food & Drink,Sale,-110.20,
09/14/2020,09/15/2020,SP * MARINE LAYER,Shopping,Sale,-105.99,
09/13/2020,09/14/2020,HARRIS TEETER 383,Groceries,Sale,-43.80,
09/12/2020,09/13/2020,ACTBLUE*JON.OSSOFF,Gifts & Donations,Sale,-5.00,
09/12/2020,09/13/2020,ACTBLUE*MARK.KELLY,Gifts & Donations,Sale,-25.00,
09/12/2020,09/13/2020,ACTBLUE*STEVE.BULLOCK,Gifts & Donations,Sale,-10.00,
09/12/2020,09/13/2020,ACTBLUE*JOHNHICKENLOOPER,Gifts & Donations,Sale,-25.00,
09/12/2020,09/13/2020,ACTBLUE*GARY.PETERS,Gifts & Donations,Sale,-5.00,
09/12/2020,09/13/2020,HARRIS TEETER 383,Groceries,Sale,-93.96,
09/12/2020,09/13/2020,ACTBLUE*CAL.CUNNINGHAM,Gifts & Donations,Sale,-25.00,
09/12/2020,09/13/2020,ACTBLUE*THERESA.GREENFIE,Gifts & Donations,Sale,-5.00,
09/08/2020,09/10/2020,EXXONMOBIL    47825534,Gas,Sale,-19.43,
09/08/2020,09/10/2020,EXXONMOBIL    97360341,Gas,Sale,-17.60,
09/08/2020,09/10/2020,BURGER KING 4NY05,Food & Drink,Sale,-5.56,
09/08/2020,09/09/2020,DUE SOUTH,Food & Drink,Sale,-63.70,
09/07/2020,09/09/2020,KING BROTHERS DAIRY,Food & Drink,Sale,-35.00,
09/08/2020,09/09/2020,REFRESH &amp; CO 4NJ36,Shopping,Sale,-10.56,
09/07/2020,09/09/2020,KING BROTHERS DAIRY,Food & Drink,Sale,-1.50,
09/05/2020,09/07/2020,MERCANTILE KITCHEN &amp; BAR,Food & Drink,Sale,-40.00,
09/06/2020,09/07/2020,THE HUDDLE KITCHEN &amp; BAR,Food & Drink,Sale,-57.09,
09/04/2020,09/06/2020,MDM WENDYS,Food & Drink,Sale,-4.12,
09/04/2020,09/06/2020,SUNOCO 0397146200,Gas,Sale,-19.88,
09/04/2020,09/06/2020,SP * DANDYFARMERBONSAI,Shopping,Sale,-27.22,
09/04/2020,09/06/2020,FETTE SAU,Food & Drink,Sale,-61.60,
09/01/2020,09/02/2020,ACTBLUE*AMY.MCGRATH.SEN,Gifts & Donations,Sale,-25.00,
09/01/2020,09/02/2020,ACTBLUE*SARA.GIDEON,Gifts & Donations,Sale,-50.00,
09/01/2020,09/02/2020,ACTBLUE*JOE.BIDEN,Gifts & Donations,Sale,-100.00,
09/01/2020,09/02/2020,ACTBLUE*JAIME.HARRISON,Gifts & Donations,Sale,-25.00,
08/31/2020,09/01/2020,TST* PENTHOUSE POOL AND L,Food & Drink,Sale,-60.16,
08/30/2020,08/31/2020,ABC*VIDA FITNESS,Health & Wellness,Sale,-25.00,
08/28/2020,08/31/2020,The Brig,Food & Drink,Sale,-14.55,
08/30/2020,08/31/2020,SQ *DISTRICT DOUGHNUT WHA,Food & Drink,Sale,-4.30,
08/28/2020,08/30/2020,HARRIS TEETER 383,Groceries,Sale,-68.18,
08/19/2020,08/20/2020,HARRIS TEETER 383,Groceries,Sale,-35.51,
08/17/2020,08/18/2020,SQ *ABC PONY,Food & Drink,Sale,-66.25,
08/17/2020,08/18/2020,TST* BAMMY S,Food & Drink,Sale,-55.66,
08/17/2020,08/17/2020,AUTOMATIC PAYMENT - THANK,,Payment,2003.85,
08/14/2020,08/17/2020,The Brig,Food & Drink,Sale,-15.85,
08/15/2020,08/16/2020,DUE SOUTH,Food & Drink,Sale,-95.20,
08/11/2020,08/12/2020,DUE SOUTH,Food & Drink,Sale,-101.40,
08/08/2020,08/10/2020,SHELL OIL 57544201304,Gas,Sale,-41.23,
08/09/2020,08/10/2020,HARRIS TEETER 383,Groceries,Sale,-115.10,
08/08/2020,08/10/2020,MAYFELS,Food & Drink,Sale,-47.00,
08/06/2020,08/09/2020,SHELL OIL 57544497803,Gas,Sale,-44.63,
08/07/2020,08/09/2020,SQ *BEN &amp; JERRY'S ASHEVIL,Food & Drink,Sale,-14.03,
08/08/2020,08/09/2020,BILLYS,Food & Drink,Sale,-72.95,
08/08/2020,08/09/2020,TST* CHAI PANI - ASHEVILL,Food & Drink,Sale,-17.96,
08/06/2020,08/07/2020,TUPELO HONEY L001,Food & Drink,Sale,-89.90,
08/05/2020,08/06/2020,HOLE DOUGH* HOLE DOUGH,Food & Drink,Sale,-12.51,
08/04/2020,08/06/2020,LOUISES KITCHEN,Food & Drink,Sale,-30.82,
08/04/2020,08/06/2020,THE BLACKBIRD,Food & Drink,Sale,-158.15,
08/05/2020,08/06/2020,VILLAGE CAFE,Food & Drink,Sale,-40.17,
08/05/2020,08/06/2020,Amazon Prime*MF4YL2E90,Bills & Utilities,Sale,-126.14,
08/03/2020,08/05/2020,HEMINGWAY'S CUBA  LLC,Food & Drink,Sale,-89.37,
08/03/2020,08/05/2020,SHELL OIL 57544498207,Gas,Sale,-47.52,
08/03/2020,08/05/2020,CITY BAKERY # 1,Food & Drink,Sale,-4.27,
08/03/2020,08/04/2020,THE NC ARBORETUM,Education,Sale,-16.00,
08/03/2020,08/04/2020,SQ *ROMAN'S DELI &amp; CATERI,Food & Drink,Sale,-34.40,
08/03/2020,08/04/2020,MAYFELS,Food & Drink,Sale,-65.64,
08/02/2020,08/03/2020,KROGER 330,Groceries,Sale,-1.82,
08/02/2020,08/03/2020,TST* WHITE BIRCH FOOD &amp; J,Food & Drink,Sale,-25.35,
08/02/2020,08/03/2020,CRESCENT CITY BBQ,Food & Drink,Sale,-54.54,
08/02/2020,08/03/2020,THE HOTEL ROANOKE &amp; CONFE,Travel,Sale,-2.00,
08/01/2020,08/02/2020,WHITE HOUSE CORNER STORE,Gas,Sale,-43.11,
08/01/2020,08/02/2020,JAKES PLACE,Food & Drink,Sale,-43.90,
07/31/2020,08/02/2020,SQ *PURE EATS,Food & Drink,Sale,-25.92,
08/01/2020,08/02/2020,PP*MMCT,Food & Drink,Sale,-7.56,
07/31/2020,08/02/2020,BILLYS,Food & Drink,Sale,-139.06,
07/30/2020,07/31/2020,ABC*VIDA FITNESS,Health & Wellness,Sale,-25.00,
07/27/2020,07/28/2020,APPLE.COM/BILL,Shopping,Sale,-42.39,
07/26/2020,07/28/2020,REI #169 WASHINGTON DC,Shopping,Sale,-49.75,
07/27/2020,07/28/2020,HARRIS TEETER 383,Groceries,Sale,-39.28,
07/26/2020,07/27/2020,WWW COSTCO COM,Shopping,Sale,-36.02,
07/26/2020,07/27/2020,WWW COSTCO COM,Shopping,Sale,-19.07,
07/26/2020,07/27/2020,WWW COSTCO COM,Shopping,Sale,-14.99,
07/21/2020,07/22/2020,HARRIS TEETER 383,Groceries,Sale,-39.93,
07/19/2020,07/20/2020,HARRIS TEETER 383,Groceries,Sale,-56.75,
07/19/2020,07/20/2020,DOORDASH*DUE SOUTH,Food & Drink,Sale,-68.70,
07/17/2020,07/19/2020,SHELL OIL 23628254077,Gas,Sale,-8.68,
07/17/2020,07/17/2020,AUTOMATIC PAYMENT - THANK,,Payment,1282.81,
07/16/2020,07/17/2020,HARRIS TEETER 383,Groceries,Sale,-40.38,
07/14/2020,07/15/2020,HARRIS TEETER 383,Groceries,Sale,-6.93,
07/13/2020,07/15/2020,NIELSON WINES,Entertainment,Sale,-48.00,
07/12/2020,07/13/2020,HARRIS TEETER 383,Groceries,Sale,-72.72,
07/13/2020,07/13/2020,AMZN Mktp US*MV6AY6F21,Shopping,Sale,-30.61,
07/11/2020,07/12/2020,HARRIS TEETER 383,Groceries,Sale,-101.87,
07/11/2020,07/12/2020,DUE SOUTH,Food & Drink,Sale,-72.50,
07/05/2020,07/06/2020,HARRISTEETER #383,Groceries,Sale,-14.87,
07/05/2020,07/06/2020,SP * SWISSKUBIK,Shopping,Sale,-795.00,
07/03/2020,07/05/2020,HARRIS TEETER 383,Groceries,Sale,-110.26,
07/02/2020,07/03/2020,MOMO SUSHI AND CAFE,Food & Drink,Sale,-36.14,
06/30/2020,07/01/2020,ABC*VIDA FITNESS,Health & Wellness,Sale,-25.00,
06/28/2020,06/29/2020,HARRIS TEETER 383,Groceries,Sale,-133.34,
06/21/2020,06/22/2020,NORDSTROM DIRECT #0808,Shopping,Sale,-96.25,
06/19/2020,06/21/2020,WA VEHICLE LICENSING,Bills & Utilities,Sale,-110.47,
06/20/2020,06/21/2020,COSTCO BY INSTACART,Groceries,Sale,-175.38,
06/18/2020,06/19/2020,DUE SOUTH,Food & Drink,Sale,-78.40,
06/17/2020,06/17/2020,AUTOMATIC PAYMENT - THANK,,Payment,916.71,
06/16/2020,06/17/2020,J CREW,Shopping,Sale,-47.17,
06/14/2020,06/16/2020,WHOLEFDS SCP #10563,Groceries,Sale,-68.81,
06/15/2020,06/16/2020,TST* PENTHOUSE POOL AND L,Food & Drink,Sale,-52.00,
06/13/2020,06/15/2020,KRISPY KREME 3509,Food & Drink,Sale,-4.83,
06/14/2020,06/15/2020,DOORDASH*DUE SOUTH,Food & Drink,Sale,-84.70,
06/10/2020,06/11/2020,DUE SOUTH,Food & Drink,Sale,-107.10,
06/10/2020,06/11/2020,HARRIS TEETER 383,Groceries,Sale,-41.74,
06/08/2020,06/09/2020,WWW COSTCO COM,Shopping,Sale,-42.39,
06/07/2020,06/08/2020,COSTCO BY INSTACART,Groceries,Sale,-86.69,
06/06/2020,06/08/2020,The Brig,Food & Drink,Sale,-48.35,
06/06/2020,06/07/2020,HARRIS TEETER 383,Groceries,Sale,-21.61,
06/05/2020,06/07/2020,HARRIS TEETER 383,Groceries,Sale,-125.23,
06/04/2020,06/05/2020,APPLE.COM/BILL,Shopping,Sale,-42.39,
05/31/2020,06/01/2020,HARRIS TEETER 383,Groceries,Sale,-18.46,
05/30/2020,05/31/2020,ABC*VIDA FITNESS,Health & Wellness,Sale,-25.00,
05/30/2020,05/31/2020,Amazon.com*M71BQ4K12,Shopping,Sale,-43.39,
05/25/2020,05/27/2020,WHOLEFDS SCP #10563,Groceries,Sale,-64.89,
05/25/2020,05/26/2020,HARRIS TEETER 383,Groceries,Sale,-101.93,
05/23/2020,05/25/2020,WHOLEFDS SCP #10563,Groceries,Sale,-33.51,
05/21/2020,05/24/2020,WHOLEFDS SCP #10563,Groceries,Sale,-83.83,
05/20/2020,05/21/2020,HARRIS TEETER 383,Groceries,Sale,-60.39,
05/20/2020,05/20/2020,Amazon.com*M70SR5AM1,Shopping,Sale,-52.55,
05/17/2020,05/18/2020,HARRIS TEETER 383,Groceries,Sale,-83.05,
05/17/2020,05/17/2020,AUTOMATIC PAYMENT - THANK,,Payment,761.39,
05/15/2020,05/17/2020,AMZN Mktp US*MC43T0DD2,Shopping,Sale,-49.81,
05/14/2020,05/14/2020,APPLE.COM/BILL,Shopping,Sale,-21.19,
05/10/2020,05/12/2020,WHOLEFDS SCP #10563,Groceries,Sale,-105.05,
05/08/2020,05/10/2020,HARRIS TEETER 383,Groceries,Sale,-7.87,
05/06/2020,05/07/2020,HARRIS TEETER 383,Groceries,Sale,-126.86,
05/06/2020,05/07/2020,COSTCO BY INSTACART,Groceries,Sale,-73.66,
05/06/2020,05/06/2020,APPLE.COM/BILL,Shopping,Sale,-21.19,
05/05/2020,05/06/2020,AMZN Mktp US*M51SA0973,Shopping,Sale,-21.17,
05/04/2020,05/05/2020,Amazon.com*JI6AD7KY3,Shopping,Sale,-15.85,
04/30/2020,05/01/2020,ABC*VIDA FITNESS,Health & Wellness,Sale,-25.00,
04/30/2020,04/30/2020,FLANCERIE.COM,Shopping,Sale,-25.99,
04/26/2020,04/27/2020,HARRIS TEETER 383,Groceries,Sale,-180.12,
04/24/2020,04/26/2020,HARRIS TEETER 383,Groceries,Sale,-107.35,
04/19/2020,04/20/2020,HARRIS TEETER 383,Groceries,Sale,-50.68,
04/17/2020,04/17/2020,AUTOMATIC PAYMENT - THANK,,Payment,1072.86,
04/15/2020,04/16/2020,HARRIS TEETER 383,Groceries,Sale,-147.43,
04/13/2020,04/14/2020,FRG*FANSEDGE.COM,Shopping,Sale,-27.81,
04/12/2020,04/13/2020,HARRIS TEETER 383,Groceries,Sale,-90.49,
04/10/2020,04/12/2020,CVS/PHARMACY #07102,Health & Wellness,Sale,-2.11,
04/10/2020,04/12/2020,HARRIS TEETER 383,Groceries,Sale,-13.95,
04/09/2020,04/10/2020,HARRIS TEETER 383,Groceries,Sale,-74.80,
04/05/2020,04/07/2020,WHOLEFDS SCP #10563,Groceries,Sale,-68.23,
03/30/2020,03/31/2020,ABC*VIDA FITNESS,Health & Wellness,Sale,-114.30,
03/29/2020,03/30/2020,DOORDASH*DUE SOUTH,Food & Drink,Sale,-48.40,
03/25/2020,03/26/2020,MMG MEDSTAR PHYSICIANS,Health & Wellness,Sale,-10.00,
03/26/2020,03/26/2020,Amazon.com*MP12H7GN3,Shopping,Sale,-16.94,
03/22/2020,03/23/2020,HARRIS TEETER 383,Groceries,Sale,-21.04,
03/21/2020,03/22/2020,HARRIS TEETER 383,Groceries,Sale,-75.21,
03/19/2020,03/20/2020,WASHINGTON RADIOLOG,Health & Wellness,Sale,-34.28,
03/18/2020,03/19/2020,Amazon.com*NF8BZ5YY3,Shopping,Sale,-17.45,
03/18/2020,03/19/2020,HARRIS TEETER 383,Groceries,Sale,-30.72,
03/17/2020,03/17/2020,AUTOMATIC PAYMENT - THANK,,Payment,1287.02,
03/15/2020,03/17/2020,WHOLEFDS SCP #10563,Groceries,Sale,-60.65,
03/13/2020,03/15/2020,UBER   TRIP,Travel,Sale,-11.07,
03/14/2020,03/15/2020,UBER   TRIP,Travel,Sale,-13.95,
03/14/2020,03/15/2020,HARRIS TEETER 383,Groceries,Sale,-32.20,
03/13/2020,03/13/2020,UBER   TRIP,Travel,Sale,-8.95,
03/12/2020,03/13/2020,SQ *DC DONER,Food & Drink,Sale,-9.90,
03/11/2020,03/12/2020,SQ *KABOB_KING,Food & Drink,Sale,-9.00,
03/11/2020,03/12/2020,HARRIS TEETER 383,Groceries,Sale,-8.66,
03/10/2020,03/11/2020,SUNRISE CAFE,Food & Drink,Sale,-8.65,
03/10/2020,03/11/2020,HARRIS TEETER 383,Groceries,Sale,-90.17,
03/09/2020,03/10/2020,SUNRISE CAFE,Food & Drink,Sale,-9.89,
03/07/2020,03/09/2020,HARRIS TEETER 383,Groceries,Sale,-58.09,
03/07/2020,03/08/2020,DUE SOUTH,Food & Drink,Sale,-51.30,
03/07/2020,03/08/2020,Amazon.com*R86H67YF3,Shopping,Sale,-11.59,
03/05/2020,03/06/2020,HARRIS TEETER 383,Groceries,Sale,-3.38,
03/04/2020,03/05/2020,SQ *INDIGO - INDIAN FOOD,Food & Drink,Sale,-15.40,
03/01/2020,03/02/2020,HARRIS TEETER 383,Groceries,Sale,-22.42,
03/01/2020,03/02/2020,HARRIS TEETER 383,Groceries,Sale,-7.99,
03/01/2020,03/02/2020,MAYDAN,Food & Drink,Sale,-167.70,
02/29/2020,03/01/2020,HARRIS TEETER 383,Groceries,Sale,-32.41,
02/28/2020,03/01/2020,TST* HATOBA,Food & Drink,Sale,-18.43,
02/29/2020,03/01/2020,ABC*VIDA FITNESS,Health & Wellness,Sale,-114.30,
02/28/2020,03/01/2020,WHOLEFDS SCP #10563,Groceries,Sale,-10.48,
02/27/2020,02/28/2020,SUNRISE CAFE,Food & Drink,Sale,-9.66,
02/27/2020,02/28/2020,CHIPOTLE 2881,Food & Drink,Sale,-8.75,
02/26/2020,02/27/2020,SQ *KABOB_KING,Food & Drink,Sale,-9.00,
01/14/2020,02/26/2020,REBILL-FT MERCHANDISE,Shopping,Adjustment,-55.00,
02/25/2020,02/26/2020,SUNRISE CAFE,Food & Drink,Sale,-10.73,
02/25/2020,02/26/2020,HARRIS TEETER 383,Groceries,Sale,-33.84,
02/24/2020,02/25/2020,SUNRISE CAFE,Food & Drink,Sale,-8.64,
02/24/2020,02/25/2020,HARRIS TEETER 383,Groceries,Sale,-27.61,
02/23/2020,02/24/2020,SQ *CAVIAR,Food & Drink,Sale,-50.60,
02/19/2020,02/20/2020,HARRIS TEETER 383,Groceries,Sale,-3.69,
02/18/2020,02/19/2020,HARRIS TEETER 383,Groceries,Sale,-33.57,
02/17/2020,02/19/2020,WHOLEFDS SCP #10563,Groceries,Sale,-11.00,
02/17/2020,02/17/2020,AUTOMATIC PAYMENT - THANK,,Payment,612.51,
02/16/2020,02/17/2020,HARRIS TEETER 383,Groceries,Sale,-70.07,
02/16/2020,02/17/2020,HARRIS TEETER 383,Groceries,Sale,-13.99,
02/14/2020,02/16/2020,HARRIS TEETER 383,Groceries,Sale,-30.52,
02/15/2020,02/16/2020,ACTBLUE*Bernie.2020,Gifts & Donations,Sale,-50.00,
02/14/2020,02/16/2020,WHOLEFDS SCP #10563,Groceries,Sale,-12.18,
02/13/2020,02/14/2020,SUNRISE CAFE,Food & Drink,Sale,-12.71,
