Transaction Date,Year,Category,Category Description,Merchant,Amount
2020-01-01,2020,Expenses,Shopping,APPLE.COM/BILL,9.99
2020-01-04,2020,Expenses,Groceries,WHOLEFDS SCP #10563,16.51
2020-01-05,2020,Expenses,Food & Drink,DUE SOUTH,26.55
2020-01-05,2020,Expenses,Health & Wellness,MMG MEDSTAR PHYSICIANS,25.0
2020-01-06,2020,Expenses,Food & Drink,KRUBA RESTAURANT,15.41
2020-01-06,2020,Expenses,Groceries,HARRIS TEETER 383,3.8
2020-01-06,2020,Expenses,Groceries,HARRIS TEETER 383,20.62
2020-01-06,2020,Expenses,Health & Wellness,CVS/PHARMACY #07102,9.1
2020-01-06,2020,Expenses,Shopping,BANANA REPUBLIC ON-LINE,-51.94
2020-01-07,2020,Expenses,Groceries,HARRIS TEETER 383,40.82
2020-01-08,2020,Expenses,Food & Drink,SUNRISE CAFE,10.76
2020-01-09,2020,Expenses,Food & Drink,SUNRISE CAFE,10.52
2020-01-10,2020,Expenses,Food & Drink,SQ *KABOB_KING,9.0
2020-01-11,2020,Expenses,Food & Drink,DUE SOUTH,19.25
2020-01-13,2020,Expenses,Food & Drink,TST* HATOBA,15.67
2020-01-13,2020,Expenses,Health & Wellness,TIMOTHY A PRICE MD PC,30.0
2020-01-14,2020,Expenses,Shopping,FT MERCHANDISE,-63.33
2020-01-14,2020,Expenses,Shopping,FT MERCHANDISE,76.22
2020-01-14,2020,Expenses,Shopping,REBILL-FT MERCHANDISE,55.0
2020-01-15,2020,Expenses,Shopping,AMZN Mktp US*EO0LV6CM3,29.23
2020-01-15,2020,Expenses,Shopping,M.S.L.,15.95
2020-01-17,2020,Expenses,Food & Drink,STARBUCKS STORE 10898,4.35
2020-01-18,2020,Expenses,Groceries,BEILERS DONUTS,2.4
2020-01-19,2020,Expenses,Shopping,MARKETPLACE EVENTS,21.0
2020-01-20,2020,Expenses,Food & Drink,TST* THE BAYOU  - BETHLEH,45.36
2020-01-20,2020,Expenses,Groceries,HARRIS TEETER 383,56.06
2020-01-20,2020,Expenses,Shopping,NATIVE,31.8
2020-01-21,2020,Expenses,Groceries,HARRIS TEETER 383,21.28
2020-01-21,2020,Expenses,Groceries,WHOLEFDS SCP #10563,61.41
2020-01-21,2020,Expenses,Shopping,FT MERCHANDISE,53.9
2020-01-21,2020,Expenses,Travel,UBER   TRIP,6.53
2020-01-22,2020,Expenses,Food & Drink,KRISPY KREME 3509,1.64
2020-01-22,2020,Expenses,Groceries,HARRIS TEETER 383,13.73
2020-01-22,2020,Expenses,Health & Wellness,CVS/PHARMACY #07102,8.96
2020-01-22,2020,Expenses,Health & Wellness,TIMOTHY A PRICE MD PC,30.0
2020-01-23,2020,Expenses,Food & Drink,CHIPOTLE 2881,8.75
2020-01-23,2020,Expenses,Travel,UBER   TRIP,5.22
2020-01-25,2020,Expenses,Food & Drink,MCDONALD'S F33371,9.65
2020-01-25,2020,Expenses,Shopping,XR LLC (ONLINE GOODS),71.88
2020-01-25,2020,Expenses,Travel,UBER   TRIP,5.32
2020-01-26,2020,Expenses,Groceries,HARRIS TEETER 383,32.39
2020-01-26,2020,Expenses,Shopping,FT MERCHANDISE,-53.9
2020-01-26,2020,Expenses,Shopping,FT MERCHANDISE,-55.0
2020-01-26,2020,Expenses,Travel,UBER   TRIP,7.83
2020-01-26,2020,Expenses,Travel,UBER   TRIP,7.08
2020-01-26,2020,Expenses,Travel,UBER   TRIP,6.61
2020-01-27,2020,Expenses,Food & Drink,SUNRISE CAFE,8.35
2020-01-28,2020,Expenses,Food & Drink,SQ *NASSTA CORP,9.9
2020-01-29,2020,Expenses,Food & Drink,SQ *KABOB_KING,10.0
2020-01-29,2020,Expenses,Health & Wellness,CVS/PHARMACY #07102,22.64
2020-01-30,2020,Expenses,Food & Drink,SUNRISE CAFE,9.63
2020-01-30,2020,Expenses,Health & Wellness,ABC*VIDA FITNESS,114.3
2020-01-30,2020,Expenses,Travel,UBER   TRIP,5.07
2020-01-31,2020,Expenses,Groceries,HARRIS TEETER 383,4.24
2020-02-01,2020,Expenses,Groceries,WHOLEFDS SCP #10563,28.47
2020-02-01,2020,Expenses,Travel,UBER   TRIP,8.61
2020-02-02,2020,Expenses,Groceries,HARRIS TEETER 383,57.35
2020-02-02,2020,Expenses,Shopping,M.S.L.,72.95
2020-02-02,2020,Expenses,Travel,UBER   TRIP,4.1
2020-02-02,2020,Expenses,Travel,UBER   TRIP,5.15
2020-02-04,2020,Expenses,Groceries,HARRIS TEETER 383,29.37
2020-02-06,2020,Expenses,Groceries,HARRIS TEETER 383,18.77
2020-02-07,2020,Expenses,Travel,UBER   TRIP,12.98
2020-02-09,2020,Expenses,Groceries,HARRIS TEETER 383,9.33
2020-02-09,2020,Expenses,Travel,UBER   TRIP,6.38
2020-02-09,2020,Expenses,Travel,UBER   TRIP,6.27
2020-02-10,2020,Expenses,Food & Drink,SUNRISE CAFE,8.17
2020-02-11,2020,Expenses,Food & Drink,SUNRISE CAFE,7.98
2020-02-11,2020,Expenses,Groceries,HARRIS TEETER 383,37.07
2020-02-12,2020,Expenses,Food & Drink,SQ *KABOB_KING,9.0
2020-02-12,2020,Expenses,Shopping,AMZN Mktp US*5K0BW5GG3,36.81
2020-02-13,2020,Expenses,Food & Drink,SUNRISE CAFE,12.71
2020-02-14,2020,Expenses,Groceries,HARRIS TEETER 383,30.52
2020-02-14,2020,Expenses,Groceries,WHOLEFDS SCP #10563,12.18
2020-02-15,2020,Expenses,Gifts & Donations,ACTBLUE*Bernie.2020,50.0
2020-02-16,2020,Expenses,Groceries,HARRIS TEETER 383,70.07
2020-02-16,2020,Expenses,Groceries,HARRIS TEETER 383,13.99
2020-02-17,2020,Expenses,Groceries,WHOLEFDS SCP #10563,11.0
2020-02-18,2020,Expenses,Groceries,HARRIS TEETER 383,33.57
2020-02-19,2020,Expenses,Groceries,HARRIS TEETER 383,3.69
2020-02-23,2020,Expenses,Food & Drink,SQ *CAVIAR,50.6
2020-02-24,2020,Expenses,Food & Drink,SUNRISE CAFE,8.64
2020-02-24,2020,Expenses,Groceries,HARRIS TEETER 383,27.61
2020-02-25,2020,Expenses,Food & Drink,SUNRISE CAFE,10.73
2020-02-25,2020,Expenses,Groceries,HARRIS TEETER 383,33.84
2020-02-26,2020,Expenses,Food & Drink,SQ *KABOB_KING,9.0
2020-02-27,2020,Expenses,Food & Drink,CHIPOTLE 2881,8.75
2020-02-27,2020,Expenses,Food & Drink,SUNRISE CAFE,9.66
2020-02-28,2020,Expenses,Food & Drink,TST* HATOBA,18.43
2020-02-28,2020,Expenses,Groceries,WHOLEFDS SCP #10563,10.48
2020-02-29,2020,Expenses,Groceries,HARRIS TEETER 383,32.41
2020-02-29,2020,Expenses,Health & Wellness,ABC*VIDA FITNESS,114.3
2020-03-01,2020,Expenses,Food & Drink,MAYDAN,167.7
2020-03-01,2020,Expenses,Groceries,HARRIS TEETER 383,22.42
2020-03-01,2020,Expenses,Groceries,HARRIS TEETER 383,7.99
2020-03-04,2020,Expenses,Food & Drink,SQ *INDIGO - INDIAN FOOD,15.4
2020-03-05,2020,Expenses,Groceries,HARRIS TEETER 383,3.38
2020-03-07,2020,Expenses,Food & Drink,DUE SOUTH,51.3
2020-03-07,2020,Expenses,Groceries,HARRIS TEETER 383,58.09
2020-03-07,2020,Expenses,Shopping,Amazon.com*R86H67YF3,11.59
2020-03-09,2020,Expenses,Food & Drink,SUNRISE CAFE,9.89
2020-03-10,2020,Expenses,Food & Drink,SUNRISE CAFE,8.65
2020-03-10,2020,Expenses,Groceries,HARRIS TEETER 383,90.17
2020-03-11,2020,Expenses,Food & Drink,SQ *KABOB_KING,9.0
2020-03-11,2020,Expenses,Groceries,HARRIS TEETER 383,8.66
2020-03-12,2020,Expenses,Food & Drink,SQ *DC DONER,9.9
2020-03-13,2020,Expenses,Travel,UBER   TRIP,11.07
2020-03-13,2020,Expenses,Travel,UBER   TRIP,8.95
2020-03-14,2020,Expenses,Groceries,HARRIS TEETER 383,32.2
2020-03-14,2020,Expenses,Travel,UBER   TRIP,13.95
2020-03-15,2020,Expenses,Groceries,WHOLEFDS SCP #10563,60.65
2020-03-18,2020,Expenses,Groceries,HARRIS TEETER 383,30.72
2020-03-18,2020,Expenses,Shopping,Amazon.com*NF8BZ5YY3,17.45
2020-03-19,2020,Expenses,Health & Wellness,WASHINGTON RADIOLOG,34.28
2020-03-21,2020,Expenses,Groceries,HARRIS TEETER 383,75.21
2020-03-22,2020,Expenses,Groceries,HARRIS TEETER 383,21.04
2020-03-25,2020,Expenses,Health & Wellness,MMG MEDSTAR PHYSICIANS,10.0
2020-03-26,2020,Expenses,Shopping,Amazon.com*MP12H7GN3,16.94
2020-03-29,2020,Expenses,Food & Drink,DOORDASH*DUE SOUTH,48.4
2020-03-30,2020,Expenses,Health & Wellness,ABC*VIDA FITNESS,114.3
2020-04-05,2020,Expenses,Groceries,WHOLEFDS SCP #10563,68.23
2020-04-09,2020,Expenses,Groceries,HARRIS TEETER 383,74.8
2020-04-10,2020,Expenses,Groceries,HARRIS TEETER 383,13.95
2020-04-10,2020,Expenses,Health & Wellness,CVS/PHARMACY #07102,2.11
2020-04-12,2020,Expenses,Groceries,HARRIS TEETER 383,90.49
2020-04-13,2020,Expenses,Shopping,FRG*FANSEDGE.COM,27.81
2020-04-15,2020,Expenses,Groceries,HARRIS TEETER 383,147.43
2020-04-19,2020,Expenses,Groceries,HARRIS TEETER 383,50.68
2020-04-24,2020,Expenses,Groceries,HARRIS TEETER 383,107.35
2020-04-26,2020,Expenses,Groceries,HARRIS TEETER 383,180.12
2020-04-30,2020,Expenses,Health & Wellness,ABC*VIDA FITNESS,25.0
2020-04-30,2020,Expenses,Shopping,FLANCERIE.COM,25.99
2020-05-04,2020,Expenses,Shopping,Amazon.com*JI6AD7KY3,15.85
2020-05-05,2020,Expenses,Shopping,AMZN Mktp US*M51SA0973,21.17
2020-05-06,2020,Expenses,Groceries,COSTCO BY INSTACART,73.66
2020-05-06,2020,Expenses,Groceries,HARRIS TEETER 383,126.86
